,Tournament,Date,Team_1,Team_2,Score_1,Score_2
917,Open 2. Liga Nord,2019-06-06,Disckick,"Frühsport 0,2",12,15
918,Open 2. Liga Nord,2019-06-06,TeKielas,Caracals,3,15
919,Open 2. Liga Nord,2019-06-06,Caracals,"Frühsport 0,2",14,15
920,Open 2. Liga Nord,2019-06-06,TeKielas,Disckick,15,12
921,Open 2. Liga Süd,2019-06-06,Gummibärchen,2M.U.C.L,15,4
922,Open 2. Liga Süd,2019-06-06,Wolpertinger,7Schwaben II,14,15
923,Open 2. Liga Süd,2019-06-06,Feldrenner,Force Middle,7,15
924,Open 2. Liga Süd,2019-06-06,Bad Raps,THW,15,11
925,Open 2. Liga Süd,2019-06-06,7Schwaben II,Gummibärchen,5,15
926,Open 2. Liga Süd,2019-06-06,2M.U.C.L,Wolpertinger,9,15
927,Open 2. Liga Süd,2019-06-06,THW,Feldrenner,15,9
928,Open 2. Liga Süd,2019-06-06,Force Middle,Bad Raps,9,15
929,Open 2. Liga Süd,2019-06-06,Gummibärchen,Wolpertinger,15,12
930,Open 2. Liga Süd,2019-06-06,2M.U.C.L,7Schwaben II,15,10
931,Open 2. Liga Süd,2019-06-06,Feldrenner,Bad Raps,6,15
932,Open 2. Liga Süd,2019-06-06,Force Middle,THW,15,10
933,Open 2. Liga Süd,2019-06-06,Feldrenner,7Schwaben II,15,10
934,Open 2. Liga Süd,2019-06-06,Wolpertinger,Force Middle,15,10
935,Open 2. Liga Süd,2019-06-06,Gummibärchen,THW,15,8
936,Open 2. Liga Süd,2019-06-06,Bad Raps,2M.U.C.L,15,14
937,Open 2. Liga Süd,2019-06-06,Wolpertinger,Feldrenner,15,5
938,Open 2. Liga Süd,2019-06-06,7Schwaben II,Force Middle,14,15
939,Open 2. Liga Süd,2019-06-06,Bad Raps,Gummibärchen,15,9
940,Open 2. Liga Süd,2019-06-06,THW,2M.U.C.L,13,11
941,Open 2. Liga Süd,2019-06-06,7Schwaben II,Bad Raps,8,15
942,Open 2. Liga Süd,2019-06-06,THW,Wolpertinger,8,15
943,Open 2. Liga Süd,2019-06-06,Force Middle,Gummibärchen,9,15
944,Open 2. Liga Süd,2019-06-06,2M.U.C.L,Feldrenner,13,15
945,Open 2. Liga Süd,2019-06-06,Bad Raps,Wolpertinger,15,14
946,Open 2. Liga Süd,2019-06-06,7Schwaben II,THW,7,15
947,Open 2. Liga Süd,2019-06-06,Gummibärchen,Feldrenner,15,7
948,Open 2. Liga Süd,2019-06-06,Force Middle,2M.U.C.L,12,13
949,Open 2. Liga Süd,2019-06-06,Bad Raps,Force Middle,15,13
950,Open 2. Liga Süd,2019-06-06,Gummibärchen,Wolpertinger,15,8
951,Open 2. Liga Süd,2019-06-06,Force Middle,Gummibärchen,10,15
952,Open 2. Liga Süd,2019-06-06,Wolpertinger,Bad Raps,11,15
953,Open 2. Liga Süd,2019-06-06,Wolpertinger,Force Middle,15,14
954,Open 2. Liga Süd,2019-06-06,Bad Raps,Gummibärchen,15,12
955,Open 2. Liga Süd,2019-06-06,Feldrenner,2M.U.C.L,14,15
956,Open 2. Liga Süd,2019-06-06,THW,7Schwaben II,15,5
957,Open 2. Liga Süd,2019-06-06,7Schwaben II,Feldrenner,9,15
958,Open 2. Liga Süd,2019-06-06,2M.U.C.L,THW,11,13
959,Open 2. Liga Süd,2019-06-06,THW,Feldrenner,15,12
960,Open 2. Liga Süd,2019-06-06,2M.U.C.L,7Schwaben II,15,5
961,Open 3. Liga NW,2019-06-06,DU bist Frisbee,Bonnsai,11,15
962,Open 3. Liga NW,2019-06-06,Frisbielefeld,Bonobos,1,15
963,Open 3. Liga NW,2019-06-06,Die 7 Todsünden,Bonnsai,1,15
964,Open 3. Liga NW,2019-06-06,Bonobos,DU bist Frisbee,13,14
965,Open 3. Liga NW,2019-06-06,Die 7 Todsünden,Frisbielefeld,15,8
966,Open 3. Liga NW,2019-06-06,Bonnsai,Bonobos,15,13
967,Open 3. Liga NW,2019-06-06,Frisbielefeld,DU bist Frisbee,8,15
968,Open 3. Liga NW,2019-06-06,Bonobos,Die 7 Todsünden,15,3
969,Open 3. Liga NW,2019-06-06,Bonnsai,Frisbielefeld,15,3
970,Open 3. Liga NW,2019-06-06,DU bist Frisbee,Die 7 Todsünden,15,4
971,Open 3. Liga NW,2019-06-06,Bonnsai,DU bist Frisbee,15,9
972,Open 3. Liga NO,2019-06-06,DJ Dahlem,MULe,15,9
973,Open 3. Liga NO,2019-06-06,Mad Squid,EazyEastKoast,14,8
974,Open 3. Liga NO,2019-06-06,Schleudertrauma,Mitteldeutscher Rundflug,0,15
975,Open 3. Liga NO,2019-06-06,EazyEastKoast,Schleudertrauma,15,0
976,Open 3. Liga NO,2019-06-06,Mitteldeutscher Rundflug,DJ Dahlem,10,15
977,Open 3. Liga NO,2019-06-06,Mad Squid,MULe,15,7
978,Open 3. Liga NO,2019-06-06,DJ Dahlem,EazyEastKoast,11,15
979,Open 3. Liga NO,2019-06-06,Mitteldeutscher Rundflug,Mad Squid,9,15
980,Open 3. Liga NO,2019-06-06,MULe,Schleudertrauma,15,0
981,Open 3. Liga NO,2019-06-06,DJ Dahlem,Mad Squid,10,15
982,Open 3. Liga NO,2019-06-06,EazyEastKoast,MULe,15,9
983,Open 3. Liga NO,2019-06-06,Schleudertrauma,DJ Dahlem,0,15
984,Open 3. Liga NO,2019-06-06,MULe,Mitteldeutscher Rundflug,12,15
985,Open 3. Liga NO,2019-06-06,Mad Squid,Schleudertrauma,15,0
986,Open 3. Liga NO,2019-06-06,Mitteldeutscher Rundflug,EazyEastKoast,9,15
987,Open 3. Liga NO,2019-06-06,DJ Dahlem,Schleudertrauma,15,0
988,Open 3. Liga NO,2019-06-06,Mad Squid,Mitteldeutscher Rundflug,15,6
989,Open 3. Liga NO,2019-06-06,EazyEastKoast,MULe,15,10
990,Open 3. Liga NO,2019-06-06,Mitteldeutscher Rundflug,EazyEastKoast,10,15
991,Open 3. Liga NO,2019-06-06,MULe,DJ Dahlem,15,7
992,Open 3. Liga NO,2019-06-06,Mad Squid,Schleudertrauma,15,0
993,Open 3. Liga NO,2019-06-06,DJ Dahlem,Mitteldeutscher Rundflug,8,15
994,Open 3. Liga NO,2019-06-06,MULe,Mad Squid,3,15
995,Open 3. Liga NO,2019-06-06,Schleudertrauma,EazyEastKoast,0,15
996,Open 3. Liga NO,2019-06-06,DJ Dahlem,Mad Squid,2,15
997,Open 3. Liga NO,2019-06-06,Mitteldeutscher Rundflug,Schleudertrauma,15,0
998,Open 3. Liga NO,2019-06-06,EazyEastKoast,DJ Dahlem,15,6
999,Open 3. Liga NO,2019-06-06,Schleudertrauma,MULe,0,15
1000,Open 3. Liga NO,2019-06-06,Mad Squid,EazyEastKoast,15,12
1001,Open 3. Liga NO,2019-06-06,MULe,Mitteldeutscher Rundflug,15,10
1002,Open 3. Liga Süd,2019-06-06,FrankPauli,Spice Boyz,11,15
1003,Open 3. Liga Süd,2019-06-06,Sturm und Drang,Wer(f)wölfle,15,6
1004,Open 3. Liga Süd,2019-06-06,Schwabing Frisbee Buam e.V.,Paradisco,7,15
1005,Open 3. Liga Süd,2019-06-06,Wer(f)wölfle,Schwabing Frisbee Buam e.V.,13,15
1006,Open 3. Liga Süd,2019-06-06,Paradisco,FrankPauli,15,5
1007,Open 3. Liga Süd,2019-06-06,Sturm und Drang,Spice Boyz,15,3
1008,Open 3. Liga Süd,2019-06-06,FrankPauli,Wer(f)wölfle,12,15
1009,Open 3. Liga Süd,2019-06-06,Paradisco,Sturm und Drang,15,13
1010,Open 3. Liga Süd,2019-06-06,Spice Boyz,Schwabing Frisbee Buam e.V.,7,15
1011,Open 3. Liga Süd,2019-06-06,FrankPauli,Sturm und Drang,10,15
1012,Open 3. Liga Süd,2019-06-06,Wer(f)wölfle,Spice Boyz,10,15
1013,Open 3. Liga Süd,2019-06-06,Schwabing Frisbee Buam e.V.,FrankPauli,15,10
1014,Open 3. Liga Süd,2019-06-06,Spice Boyz,Paradisco,4,15
1015,Open 3. Liga Süd,2019-06-06,Sturm und Drang,Schwabing Frisbee Buam e.V.,15,8
1016,Open 3. Liga Süd,2019-06-06,Paradisco,Wer(f)wölfle,15,5
1017,Open 3. Liga Süd,2019-06-06,Schwabing Frisbee Buam e.V.,Spice Boyz,12,15
1018,Open 3. Liga Süd,2019-06-06,Paradisco,FrankPauli,15,9
1019,Open 3. Liga Süd,2019-06-06,Sturm und Drang,Wer(f)wölfle,15,9
1020,Open 3. Liga Süd,2019-06-06,FrankPauli,Sturm und Drang,5,15
1021,Open 3. Liga Süd,2019-06-06,Wer(f)wölfle,Schwabing Frisbee Buam e.V.,15,12
1022,Open 3. Liga Süd,2019-06-06,Paradisco,Spice Boyz,15,9
1023,Open 3. Liga Süd,2019-06-06,Schwabing Frisbee Buam e.V.,FrankPauli,15,11
1024,Open 3. Liga Süd,2019-06-06,Wer(f)wölfle,Paradisco,15,13
1025,Open 3. Liga Süd,2019-06-06,Spice Boyz,Sturm und Drang,5,15
1026,Open 3. Liga Süd,2019-06-06,Schwabing Frisbee Buam e.V.,Paradisco,11,15
1027,Open 3. Liga Süd,2019-06-06,FrankPauli,Spice Boyz,15,9
1028,Open 3. Liga Süd,2019-06-06,Sturm und Drang,Schwabing Frisbee Buam e.V.,15,0
1029,Open 3. Liga Süd,2019-06-06,Spice Boyz,Wer(f)wölfle,5,15
1030,Open 3. Liga Süd,2019-06-06,Paradisco,Sturm und Drang,11,13
1031,Open 3. Liga Süd,2019-06-06,Wer(f)wölfle,FrankPauli,13,9
1032,Open Masters,2019-06-06,Heidees,Family Ultimate,15,12
1033,Open Masters,2019-06-06,Goldfingers,"Frühsport 0,2",15,8
1034,Open Masters,2019-06-06,Family Ultimate,Goldfingers,5,15
1035,Open Masters,2019-06-06,Heidees,Sugar Daddies,15,8
1036,Open Masters,2019-06-06,"Frühsport 0,2",Sugar Daddies,11,15
1037,Open Masters,2019-06-06,Goldfingers,Heidees,15,10
1038,Open Masters,2019-06-06,Family Ultimate,"Frühsport 0,2",15,14
1039,Open Masters,2019-06-06,Sugar Daddies,Goldfingers,7,15
1040,Open Masters,2019-06-06,Sugar Daddies,Family Ultimate,15,6
1041,Open Masters,2019-06-06,"Frühsport 0,2",Heidees,12,15
1042,Open Masters,2019-06-06,Goldfingers,Heidees,15,11
1043,Open Grandmasters,2019-06-06,TeKielas,Wolpertinger GM,7,15
1044,Open Grandmasters,2019-06-06,Feldrentner,NextGen Nürnberg,15,10
1045,Open Grandmasters,2019-06-06,Wegwerfgesellschaft,Wolpertinger GM,6,15
1046,Open Grandmasters,2019-06-06,NextGen Nürnberg,TeKielas,15,7
1047,Open Grandmasters,2019-06-06,Wolpertinger GM,NextGen Nürnberg,15,14
1048,Open Grandmasters,2019-06-06,Wegwerfgesellschaft,Feldrentner,10,15
1049,Open Grandmasters,2019-06-06,NextGen Nürnberg,Wegwerfgesellschaft,15,10
1050,Open Grandmasters,2019-06-06,Feldrentner,TeKielas,15,8
1051,Open Grandmasters,2019-06-06,Wolpertinger GM,Feldrentner,7,15
1052,Open Grandmasters,2019-06-06,TeKielas,Wegwerfgesellschaft,15,14
1053,Open Grandmasters,2019-06-06,Feldrentner,Wolpertinger GM,15,7
1054,DFV-Pokal Open,2019-08-15,M.U.C.,Hässliche Erdferkel,15,7
1055,DFV-Pokal Open,2019-08-15,Frank N,7Schwaben,15,13
1056,DFV-Pokal Open,2019-08-15,Frizzly Bears,2M.U.C.L,15,9
1057,DFV-Pokal Open,2019-08-15,Hucks Ultimate Berlin,Kiel2,15,12
1058,DFV-Pokal Open,2019-08-15,Bad Skid,Wall City,15,5
1059,DFV-Pokal Open,2019-08-15,Family Ultimate,Heidees,13,15
1060,DFV-Pokal Open,2019-08-15,Hardfisch,Disckick,15,8
1061,DFV-Pokal Open,2019-08-15,Ars Ludendi,Funatics,15,8
1062,DFV-Pokal Open,2019-08-15,M.U.C.,Frank N,15,10
1063,DFV-Pokal Open,2019-08-15,7Schwaben,Hucks Ultimate Berlin,15,5
1064,DFV-Pokal Open,2019-08-15,Frizzly Bears,Hässliche Erdferkel,15,13
1065,DFV-Pokal Open,2019-08-15,2M.U.C.L,Kiel2,12,15
1066,DFV-Pokal Open,2019-08-15,Bad Skid,Heidees,15,8
1067,DFV-Pokal Open,2019-08-15,Family Ultimate,Ars Ludendi,15,10
1068,DFV-Pokal Open,2019-08-15,Hardfisch,Wall City,15,14
1069,DFV-Pokal Open,2019-08-15,Disckick,Funatics,15,9
1070,DFV-Pokal Open,2019-08-15,Bad Skid,Frizzly Bears,15,4
1071,DFV-Pokal Open,2019-08-15,Frank N,Family Ultimate,13,15
1072,DFV-Pokal Open,2019-08-15,M.U.C.,Hardfisch,15,14
1073,DFV-Pokal Open,2019-08-15,Heidees,7Schwaben,9,15
1074,DFV-Pokal Open,2019-08-15,Bad Skid,Family Ultimate,15,8
1075,DFV-Pokal Open,2019-08-15,M.U.C.,7Schwaben,15,14
1076,DFV-Pokal Open,2019-08-15,Frizzly Bears,Frank N,10,15
1077,DFV-Pokal Open,2019-08-15,Hardfisch,Heidees,14,15
1078,DFV-Pokal Open,2019-08-15,Family Ultimate,7Schwaben,9,15
1079,DFV-Pokal Open,2019-08-15,Frank N,Heidees,10,15
1080,DFV-Pokal Open,2019-08-15,Frizzly Bears,Hardfisch,8,15
1081,DFV-Pokal Open,2019-08-15,Bad Skid,M.U.C.,15,8
1082,DFV-Pokal Open,2019-08-15,Hässliche Erdferkel,Funatics,15,14
1083,DFV-Pokal Open,2019-08-15,Ars Ludendi,Kiel2,15,8
1084,DFV-Pokal Open,2019-08-15,Wall City,2M.U.C.L,15,7
1085,DFV-Pokal Open,2019-08-15,Hucks Ultimate Berlin,Disckick,10,15
1086,DFV-Pokal Open,2019-08-15,Hässliche Erdferkel,Ars Ludendi,12,15
1087,DFV-Pokal Open,2019-08-15,Wall City,Disckick,15,12
1088,DFV-Pokal Open,2019-08-15,Funatics,Kiel2,11,15
1089,DFV-Pokal Open,2019-08-15,2M.U.C.L,Hucks Ultimate Berlin,8,15
1090,DFV-Pokal Open,2019-08-15,Ars Ludendi,Wall City,6,15
1091,DFV-Pokal Open,2019-08-15,Hässliche Erdferkel,Disckick,9,15
1092,DFV-Pokal Open,2019-08-15,Kiel2,Hucks Ultimate Berlin,13,15
1093,DFV-Pokal Open,2019-08-15,Funatics,2M.U.C.L,10,15
1094,Tom's Tourney 2019,2019-05-05,Mooncatchers,Mosquitos,9,11
1095,Tom's Tourney 2019,2019-05-05,Solebang,Ars Ludendi,10,8
1096,Tom's Tourney 2019,2019-05-05,Ah Ouh Puc,Glory Owls,10,7
1097,Tom's Tourney 2019,2019-05-05,Frizzly Bears,Boys R Us,11,10
1098,Tom's Tourney 2019,2019-05-05,Germany U20 Open,Frizstyle,9,10
1099,Tom's Tourney 2019,2019-05-05,Belgium U20,Cota Viet,6,10
1100,Tom's Tourney 2019,2019-05-05,GOLD,Uproar,14,5
1101,Tom's Tourney 2019,2019-05-05,Panthers Bern,Goldfingers,10,9
1102,Tom's Tourney 2019,2019-05-05,Chevron Action Flash,Cotarica Grandes,11,8
1103,Tom's Tourney 2019,2019-05-05,Craic Dealers 2.0,New Age,10,9
1104,Tom's Tourney 2019,2019-05-05,CUSB La Fotta51,Heidees,11,6
1105,Tom's Tourney 2019,2019-05-05,Iznogood,Flump,15,4
1106,Tom's Tourney 2019,2019-05-05,GB U24 Men,Amsterdam U.C. Open,9,8
1107,Tom's Tourney 2019,2019-05-05,Cusb Red Bulls,Raging Bananas,13,6
1108,Tom's Tourney 2019,2019-05-05,Tchac,Fire of London,12,6
1109,Tom's Tourney 2019,2019-05-05,Belgium Open,Ka-Pow!,15,9
1110,Tom's Tourney 2019,2019-05-05,Belgium U24 Open,Alba,13,7
1111,Tom's Tourney 2019,2019-05-05,Ragnarok,Friselis,10,9
1112,Tom's Tourney 2019,2019-05-05,Freespeed,Rebel Ultimate,14,10
1113,Tom's Tourney 2019,2019-05-05,Devon Ultimate,Wall City,12,11
1114,Tom's Tourney 2019,2019-05-05,Germany U20 Open,Blue Arse Flies,12,8
1115,Tom's Tourney 2019,2019-05-05,Belgium U20,Frizstyle,6,11
1116,Tom's Tourney 2019,2019-05-05,GOLD,AtomSwift,10,9
1117,Tom's Tourney 2019,2019-05-05,Panthers Bern,Uproar,13,5
1118,Tom's Tourney 2019,2019-05-05,Mooncatchers,SUN,10,11
1119,Tom's Tourney 2019,2019-05-05,Solebang,Mosquitos,13,10
1120,Tom's Tourney 2019,2019-05-05,Ah Ouh Puc,Hardfisch,12,11
1121,Tom's Tourney 2019,2019-05-05,Frizzly Bears,Glory Owls,12,7
1122,Tom's Tourney 2019,2019-05-05,Chevron Action Flash,New Age,10,7
1123,Tom's Tourney 2019,2019-05-05,Craic Dealers 2.0,Cotarica Grandes,9,11
1124,Tom's Tourney 2019,2019-05-05,CUSB La Fotta51,Flump,10,8
1125,Tom's Tourney 2019,2019-05-05,Iznogood,Heidees,13,8
1126,Tom's Tourney 2019,2019-05-05,Tchac,Ka-Pow!,9,10
1127,Tom's Tourney 2019,2019-05-05,Belgium Open,Fire of London,13,6
1128,Tom's Tourney 2019,2019-05-05,GB U24 Men,Raging Bananas,10,9
1129,Tom's Tourney 2019,2019-05-05,Cusb Red Bulls,Amsterdam U.C. Open,11,8
1130,Tom's Tourney 2019,2019-05-05,Freespeed,Wall City,10,9
1131,Tom's Tourney 2019,2019-05-05,Devon Ultimate,Rebel Ultimate,8,11
1132,Tom's Tourney 2019,2019-05-05,Belgium U24 Open,Friselis,12,7
1133,Tom's Tourney 2019,2019-05-05,Ragnarok,Alba,6,12
1134,Tom's Tourney 2019,2019-05-05,Mooncatchers,Ars Ludendi,7,9
1135,Tom's Tourney 2019,2019-05-05,SUN,Mosquitos,13,11
1136,Tom's Tourney 2019,2019-05-05,Ah Ouh Puc,Boys R Us,12,10
1137,Tom's Tourney 2019,2019-05-05,Hardfisch,Glory Owls,14,8
1138,Tom's Tourney 2019,2019-05-05,GOLD,Goldfingers,10,9
1139,Tom's Tourney 2019,2019-05-05,AtomSwift,Uproar,9,8
1140,Tom's Tourney 2019,2019-05-05,Germany U20 Open,Cota Viet,12,10
1141,Tom's Tourney 2019,2019-05-05,Blue Arse Flies,Frizstyle,7,12
1142,Tom's Tourney 2019,2019-05-05,Chevron Action Flash,Craic Dealers 2.0,10,9
1143,Tom's Tourney 2019,2019-05-05,Cotarica Grandes,New Age,11,10
1144,Tom's Tourney 2019,2019-05-05,Belgium U24 Open,Ragnarok,11,12
1145,Tom's Tourney 2019,2019-05-05,Alba,Friselis,13,8
1146,Tom's Tourney 2019,2019-05-05,CUSB La Fotta51,Iznogood,10,5
1147,Tom's Tourney 2019,2019-05-05,Heidees,Flump,10,9
1148,Tom's Tourney 2019,2019-05-05,Freespeed,Devon Ultimate,10,11
1149,Tom's Tourney 2019,2019-05-05,Rebel Ultimate,Wall City,9,10
1150,Tom's Tourney 2019,2019-05-05,GB U24 Men,Cusb Red Bulls,9,11
1151,Tom's Tourney 2019,2019-05-05,Amsterdam U.C. Open,Raging Bananas,15,6
1152,Tom's Tourney 2019,2019-05-05,Tchac,Belgium Open,12,11
1153,Tom's Tourney 2019,2019-05-05,Fire of London,Ka-Pow!,5,10
1154,Tom's Tourney 2019,2019-05-05,Belgium U20,Blue Arse Flies,14,5
1155,Tom's Tourney 2019,2019-05-05,Cota Viet,Frizstyle,11,9
1156,Tom's Tourney 2019,2019-05-05,Solebang,SUN,11,9
1157,Tom's Tourney 2019,2019-05-05,Ars Ludendi,Mosquitos,15,5
1158,Tom's Tourney 2019,2019-05-05,Frizzly Bears,Hardfisch,13,12
1159,Tom's Tourney 2019,2019-05-05,Boys R Us,Glory Owls,10,8
1160,Tom's Tourney 2019,2019-05-05,Panthers Bern,AtomSwift,9,11
1161,Tom's Tourney 2019,2019-05-05,Goldfingers,Uproar,11,10
1162,Tom's Tourney 2019,2019-05-05,Chevron Action Flash,GB U24 Men,8,7
1163,Tom's Tourney 2019,2019-05-05,Tchac,Wall City,8,9
1164,Tom's Tourney 2019,2019-05-05,CUSB La Fotta51,Freespeed,7,8
1165,Tom's Tourney 2019,2019-05-05,Alba,Amsterdam U.C. Open,12,7
1166,Tom's Tourney 2019,2019-05-05,Devon Ultimate,Iznogood,8,9
1167,Tom's Tourney 2019,2019-05-05,Belgium U24 Open,Ka-Pow!,10,7
1168,Tom's Tourney 2019,2019-05-05,Cusb Red Bulls,Cotarica Grandes,10,8
1169,Tom's Tourney 2019,2019-05-05,Belgium Open,Ragnarok,10,7
1170,Tom's Tourney 2019,2019-05-05,Craic Dealers 2.0,Rebel Ultimate,8,13
1171,Tom's Tourney 2019,2019-05-05,Friselis,Flump,13,5
1172,Tom's Tourney 2019,2019-05-05,Heidees,Raging Bananas,7,9
1173,Tom's Tourney 2019,2019-05-05,Fire of London,New Age,6,12
1174,Tom's Tourney 2019,2019-05-05,Germany U20 Open,Belgium U20,9,8
1175,Tom's Tourney 2019,2019-05-05,SUN,Ars Ludendi,6,11
1176,Tom's Tourney 2019,2019-05-05,Ah Ouh Puc,Frizzly Bears,8,5
1177,Tom's Tourney 2019,2019-05-05,Hardfisch,Boys R Us,9,6
1178,Tom's Tourney 2019,2019-05-05,Mooncatchers,Solebang,7,10
1179,Tom's Tourney 2019,2019-05-05,Blue Arse Flies,Cota Viet,4,12
1180,Tom's Tourney 2019,2019-05-05,GOLD,Panthers Bern,5,8
1181,Tom's Tourney 2019,2019-05-05,AtomSwift,Goldfingers,5,12
1182,Tom's Tourney 2019,2019-05-05,CUSB La Fotta51,Amsterdam U.C. Open,11,6
1183,Tom's Tourney 2019,2019-05-05,Alba,Freespeed,5,7
1184,Tom's Tourney 2019,2019-05-05,Chevron Action Flash,Wall City,11,7
1185,Tom's Tourney 2019,2019-05-05,Tchac,GB U24 Men,12,8
1186,Tom's Tourney 2019,2019-05-05,Devon Ultimate,Ka-Pow!,8,7
1187,Tom's Tourney 2019,2019-05-05,Belgium U24 Open,Iznogood,8,7
1188,Tom's Tourney 2019,2019-05-05,Cusb Red Bulls,Ragnarok,12,6
1189,Tom's Tourney 2019,2019-05-05,Belgium Open,Cotarica Grandes,9,10
1190,Tom's Tourney 2019,2019-05-05,Solebang,GOLD,6,7
1191,Tom's Tourney 2019,2019-05-05,Panthers Bern,Ars Ludendi,8,9
1192,Tom's Tourney 2019,2019-05-05,Craic Dealers 2.0,Flump,11,9
1193,Tom's Tourney 2019,2019-05-05,Friselis,Rebel Ultimate,8,9
1194,Tom's Tourney 2019,2019-05-05,Heidees,New Age,2,13
1195,Tom's Tourney 2019,2019-05-05,Fire of London,Raging Bananas,6,10
1196,Tom's Tourney 2019,2019-05-05,Ah Ouh Puc,Cota Viet,5,7
1197,Tom's Tourney 2019,2019-05-05,Germany U20 Open,Frizzly Bears,4,5
1198,Tom's Tourney 2019,2019-05-05,SUN,AtomSwift,14,4
1199,Tom's Tourney 2019,2019-05-05,Goldfingers,Mosquitos,10,4
1200,Tom's Tourney 2019,2019-05-05,Hardfisch,Belgium U20,7,6
1201,Tom's Tourney 2019,2019-05-05,Frizstyle,Boys R Us,8,4
1202,Tom's Tourney 2019,2019-05-05,Uproar,Mooncatchers,8,10
1203,Tom's Tourney 2019,2019-05-05,Blue Arse Flies,Glory Owls,9,8
1204,Tom's Tourney 2019,2019-05-05,Cusb Red Bulls,Belgium Open,9,7
1205,Tom's Tourney 2019,2019-05-05,Cotarica Grandes,Ragnarok,9,6
1206,Tom's Tourney 2019,2019-05-05,Chevron Action Flash,Tchac,10,9
1207,Tom's Tourney 2019,2019-05-05,GB U24 Men,Wall City,5,9
1208,Tom's Tourney 2019,2019-05-05,CUSB La Fotta51,Alba,9,7
1209,Tom's Tourney 2019,2019-05-05,Freespeed,Amsterdam U.C. Open,9,8
1210,Tom's Tourney 2019,2019-05-05,Devon Ultimate,Belgium U24 Open,9,10
1211,Tom's Tourney 2019,2019-05-05,Iznogood,Ka-Pow!,11,7
1212,Tom's Tourney 2019,2019-05-05,Craic Dealers 2.0,Friselis,7,8
1213,Tom's Tourney 2019,2019-05-05,Rebel Ultimate,Flump,10,3
1214,Tom's Tourney 2019,2019-05-05,Heidees,Fire of London,3,6
1215,Tom's Tourney 2019,2019-05-05,Raging Bananas,New Age,4,13
1216,Tom's Tourney 2019,2019-05-05,Solebang,Panthers Bern,7,8
1217,Tom's Tourney 2019,2019-05-05,GOLD,Ars Ludendi,9,8
1218,Tom's Tourney 2019,2019-05-05,Ah Ouh Puc,Germany U20 Open,6,5
1219,Tom's Tourney 2019,2019-05-05,Cota Viet,Frizzly Bears,7,6
1220,Tom's Tourney 2019,2019-05-05,SUN,Goldfingers,6,7
1221,Tom's Tourney 2019,2019-05-05,AtomSwift,Mosquitos,4,7
1222,Tom's Tourney 2019,2019-05-05,Hardfisch,Frizstyle,12,7
1223,Tom's Tourney 2019,2019-05-05,Belgium U20,Boys R Us,11,5
1224,Tom's Tourney 2019,2019-05-05,Uproar,Glory Owls,11,9
1225,Tom's Tourney 2019,2019-05-05,Blue Arse Flies,Mooncatchers,3,10
1226,Tom's Tourney 2019,2019-05-05,Chevron Action Flash,CUSB La Fotta51,10,9
1227,Tom's Tourney 2019,2019-05-05,Freespeed,Wall City,8,6
1228,Tom's Tourney 2019,2019-05-05,Cusb Red Bulls,Iznogood,4,6
1229,Tom's Tourney 2019,2019-05-05,Belgium U24 Open,Cotarica Grandes,11,5
1230,Tom's Tourney 2019,2019-05-05,Tchac,Amsterdam U.C. Open,8,7
1231,Tom's Tourney 2019,2019-05-05,Alba,GB U24 Men,8,7
1232,Tom's Tourney 2019,2019-05-05,Belgium Open,Ka-Pow!,10,6
1233,Tom's Tourney 2019,2019-05-05,Devon Ultimate,Ragnarok,9,5
1234,Tom's Tourney 2019,2019-05-05,Rebel Ultimate,Heidees,10,9
1235,Tom's Tourney 2019,2019-05-05,New Age,Flump,11,7
1236,Tom's Tourney 2019,2019-05-05,Raging Bananas,Craic Dealers 2.0,4,10
1237,Tom's Tourney 2019,2019-05-05,Friselis,Fire of London,6,4
1238,Tom's Tourney 2019,2019-05-05,Uproar,Blue Arse Flies,10,8
1239,Tom's Tourney 2019,2019-05-05,Glory Owls,Mooncatchers,10,6
1240,Tom's Tourney 2019,2019-05-05,Panthers Bern,Germany U20 Open,10,6
1241,Tom's Tourney 2019,2019-05-05,GOLD,Frizzly Bears,7,8
1242,Tom's Tourney 2019,2019-05-05,Solebang,Ah Ouh Puc,0,7
1243,Tom's Tourney 2019,2019-05-05,Ars Ludendi,Cota Viet,7,8
1244,Tom's Tourney 2019,2019-05-05,Goldfingers,Boys R Us,10,8
1245,Tom's Tourney 2019,2019-05-05,SUN,Belgium U20,6,8
1246,Tom's Tourney 2019,2019-05-05,Mosquitos,Frizstyle,5,9
1247,Tom's Tourney 2019,2019-05-05,AtomSwift,Hardfisch,5,6
1248,Tom's Tourney 2019,2019-05-05,Boys R Us,Mosquitos,6,12
1249,Tom's Tourney 2019,2019-05-05,SUN,AtomSwift,8,11
1250,Tom's Tourney 2019,2019-05-05,Mooncatchers,Glory Owls,10,5
1251,Tom's Tourney 2019,2019-05-05,Uproar,Blue Arse Flies,4,11
1252,Tom's Tourney 2019,2019-05-05,Freespeed,Belgium U24 Open,10,8
1253,Tom's Tourney 2019,2019-05-05,Panthers Bern,Ah Ouh Puc,4,9
1254,Tom's Tourney 2019,2019-05-05,Frizzly Bears,Cota Viet,9,11
1255,Tom's Tourney 2019,2019-05-05,Germany U20 Open,Solebang,10,4
1256,Tom's Tourney 2019,2019-05-05,GOLD,Ars Ludendi,11,7
1257,Tom's Tourney 2019,2019-05-05,Goldfingers,Frizstyle,10,8
