Team,W,L,Rating
DR,1,10,356.48
Second Wind,1,7,350.3
Spoiler Alert,3,4,349.88
Big Bend,3,4,346.84
Identity Theft,5,7,338.83
Garbage,0,5,336.93
Fishpix!,2,5,324.21
Heavy Flow,2,11,322.08
Brackish,1,7,320.54
Wolfpack-C,2,2,310.01
Saggy Asses,1,4,307.56
Rainbow,6,14,307
Birds of Paradise,2,5,306.16
Natural Twenties,1,5,287.22
EDM,1,9,283.93
Bozos,2,4,261.43
Freeway,1,5,259.82
Varsity,2,8,253.15
Chowdaheads 2021,3,4,252.06
Boomtown Pandas,3,19,247.58
Replay,6,14,234.21
Breakfast Time,1,6,222.61
Pumphouse,1,5,221.6
Dinosaur Fancy,2,10,220.69
Mixed Feelings,1,1,209.07
Blackout's Back Alright!,2,3,207.03
Robotic Snakes,4,16,170.3
UM Alum,3,3,169.35
Ravin’-D,1,4,167.05
Swing,0,5,154.44
Sorted Beans,4,15,104.1
Bold City,1,6,83.87
Down to Huck,0,6,50
Ghost Town,1,6,41.68
Altitude-B,1,5,39.01
Moonshine,0,12,38.42
Cold Turkey,0,5,22.84
Too Hot To Handle,0,5,-1.96
Baywatch,0,6,-12.92
Mighty Martens,0,6,-30.4
Rampage,0,6,-42.62
SkyLab,0,6,-93.94
AC Bandits,2,4,-143.1
Pink Pear,1,9,-189.01
NWA Legacy,0,2,-202.28
mufahots,0,6,-218.83
PCBG,0,6,-264.44
Megalodon,0,6,-436.87
Buffalo Lake Effect,0,2,
Third Rail,0,6,
