,Round,Team,Rank,Rating,W,L,Avg_Goal_Diff,Avg_Opponent_Rating
87,4,COCKtail,16,-2.41,1,3,-1.25,-1.16
88,4,Crazy Dogs,17,-3.55,1,3,-4.5,0.95
89,4,KFUM Örebro Frisbee,18,-4.2,1,3,-4.25,0.05
90,4,Catchup Graz,19,-4.28,2,2,-1.0,-3.28
91,4,KFK (Copenhagen Frisbee Club),20,-4.98,1,3,-3.75,-1.23
92,4,Touchless,21,-5.82,2,2,0.75,-6.57
93,4,Cosmo Maribor,22,-7.2,2,2,-1.5,-5.7
94,4,Heidees,23,-8.38,1,3,-4.25,-4.13
95,4,Force Elektro,24,-10.44,0,4,-6.5,-3.94
96,3,CUSB La Fotta,1,8.79,3,0,3.67,5.12
97,3,Ragnarok,2,7.73,3,0,7.33,0.39
98,3,FUJ,3,6.74,3,0,6.0,0.74
99,3,Chevron Action Flash,4,6.25,2,1,3.33,2.92
100,3,Clapham Ultimate,5,5.17,2,1,1.33,3.84
101,3,Bad Skid,6,4.77,2,1,3.0,1.77
102,3,Freespeed,7,3.97,1,2,0.67,3.31
103,3,Otso,8,3.95,2,1,2.33,1.61
104,3,Ranelagh,9,2.11,2,1,1.0,1.11
105,3,Tchac,10,2.0,2,1,2.33,-0.33
106,3,Freezzz Beezzz,11,0.61,1,2,-1.0,1.61
107,3,Frank N,12,0.06,1,2,0.0,0.06
108,3,FWD>>,13,-0.36,2,1,1.33,-1.7
109,3,COCKtail,14,-0.72,1,2,0.0,-0.72
110,3,Iznogood,15,-1.05,1,2,0.0,-1.05
111,3,KFUM Örebro Frisbee,16,-2.44,1,2,-2.33,-0.11
112,3,KFK (Copenhagen Frisbee Club),17,-3.06,1,2,-3.33,0.27
113,3,ThebigEZ,18,-3.23,1,2,-3.0,-0.23
114,3,Crazy Dogs,19,-4.01,0,3,-6.33,2.32
115,3,Catchup Graz,20,-4.41,2,1,-1.0,-3.41
116,3,Touchless,21,-5.76,1,2,-0.67,-5.1
117,3,Heidees,22,-5.83,1,2,-4.33,-1.49
118,3,Cosmo Maribor,23,-9.53,1,2,-3.33,-6.19
119,3,Force Elektro,24,-11.77,0,3,-7.0,-4.77
120,2,Ragnarok,1,6.0,2,0,6.5,-0.5
121,2,FWD>>,2,5.62,2,0,6.5,-0.87
122,2,Iznogood,3,4.88,1,1,4.0,0.87
123,2,FUJ,4,4.75,2,0,5.0,-0.25
124,2,Clapham Ultimate,5,4.5,2,0,4.5,0.0
125,2,CUSB La Fotta,6,4.37,2,0,3.0,1.37
126,2,Tchac,7,4.12,2,0,4.5,-0.38
127,2,Bad Skid,8,4.0,1,1,3.5,0.5
128,2,Freespeed,9,3.25,1,1,3.0,0.25
129,2,Chevron Action Flash,10,1.62,1,1,3.0,-1.38
130,2,Frank N,11,1.37,1,1,1.0,0.38
131,2,Otso,12,1.12,1,1,2.5,-1.38
132,2,Freezzz Beezzz,13,0.5,1,1,0.5,0.0
133,2,Ranelagh,14,-0.5,1,1,-0.5,0.0
134,2,Heidees,15,-2.13,1,1,-2.5,0.38
135,2,Touchless,16,-3.37,0,2,-3.0,-0.38
136,2,COCKtail,17,-3.75,0,2,-4.0,0.25
