,Date,Tournament,Team_1,Team_2,Score_1,Score_2
438,2022-05-08,2022 Toms Tourney,Amsterdam Ultimate Club Open,Canieporci,10,11
439,2022-05-08,2022 Toms Tourney,Force Elektro,Cus Padova Barbastreji,9,13
440,2022-05-08,2022 Toms Tourney,Alba,Chevron Action Flash,6,15
441,2022-05-08,2022 Toms Tourney,CUSB La Fotta,Mooncatchers,11,12
442,2022-05-08,2022 Toms Tourney,Clapham Ultimate,Iznogood,11,12
443,2022-05-08,2022 Toms Tourney,HŠssliche Erdferkel,Frizzly Bears,7,10
444,2022-05-08,2022 Toms Tourney,Guayota,Wall City,15,8
445,2022-05-08,2022 Toms Tourney,GOLD,Helgtre,14,10
446,2022-05-08,2022 Toms Tourney,LOL,Ultimate Vibration Old Star,8,11
447,2022-05-08,2022 Toms Tourney,Solebang Ultimate Club,SUFC Odin,12,10
448,2022-05-08,2022 Toms Tourney,Freezzz Beezzz,Franknation,10,12
449,2022-05-08,2022 Toms Tourney,MasterClassUltimate,PUC,0,1
450,2022-05-08,2022 Toms Tourney,Krakens Ultimate Club,Bristol Open,8,11
451,2022-05-08,2022 Toms Tourney,Manchester Ultimate,Outsiterz,7,12
452,2022-05-08,2022 Toms Tourney,Blue Arse Flies,Farmers,8,14
453,2022-05-08,2022 Toms Tourney,DTU Ultimate Frisbee,Frisbeurs,13,9
454,2022-05-08,2022 Toms Tourney,Frizstyle Open,Cotarica Silver,13,8
455,2022-05-08,2022 Toms Tourney,Freespeed,GRUT Open,7,14
456,2022-05-08,2022 Toms Tourney,Bora Bears,Ka-Pow!,8,3
457,2022-05-08,2022 Toms Tourney,Smash'D,New Age,7,11
458,2022-05-08,2022 Toms Tourney,PELT,FAB Men,12,8
459,2022-05-08,2022 Toms Tourney,Canieporci,Cus Padova Barbastreji,10,12
460,2022-05-08,2022 Toms Tourney,Amsterdam Ultimate Club Open,Force Elektro,8,7
461,2022-05-08,2022 Toms Tourney,Clapham Ultimate,Tchac,13,11
462,2022-05-08,2022 Toms Tourney,Reading,Top Of North,8,7
463,2022-05-08,2022 Toms Tourney,Mooncatchers,Chevron Action Flash,14,12
464,2022-05-08,2022 Toms Tourney,CUSB La Fotta,Alba,15,10
465,2022-05-08,2022 Toms Tourney,Guayota,Gentle Open,9,7
466,2022-05-08,2022 Toms Tourney,Wall City,Jetset Open,9,10
467,2022-05-08,2022 Toms Tourney,Iznogood,CUSB Redbulls,13,11
468,2022-09-03,2022-Uknationals,Clapham Ultimate,Devon Ultimate,15,5
469,2022-09-03,2022-Uknationals,Chevron Action Flash,EDI,15,5
470,2022-09-03,2022-Uknationals,Alba,Reading,15,7
471,2022-09-03,2022-Uknationals,Ranelagh,Bristol Open,15,9
472,2022-09-03,2022-Uknationals,Rebel,Devon Ultimate,3,15
473,2022-09-03,2022-Uknationals,Smash'D,EDI,15,5
474,2022-09-03,2022-Uknationals,XVI,Reading,15,10
475,2022-09-03,2022-Uknationals,Tribe,Bristol Open,9,15
476,2022-09-03,2022-Uknationals,Chevron Action Flash,Smash'D,15,12
477,2022-09-03,2022-Uknationals,Clapham Ultimate,Rebel,15,5
478,2022-09-03,2022-Uknationals,Alba,XVI,15,9
479,2022-09-03,2022-Uknationals,Ranelagh,Tribe,15,7
480,2022-09-03,2022-Uknationals,Ranelagh,Alba,9,15
481,2022-09-03,2022-Uknationals,XVI,Bristol Open,12,15
482,2022-09-03,2022-Uknationals,Rebel,EDI,10,13
483,2022-09-03,2022-Uknationals,Clapham Ultimate,Chevron Action Flash,15,9
484,2022-09-03,2022-Uknationals,Tribe,Reading,13,14
485,2022-09-03,2022-Uknationals,Smash'D,Devon Ultimate,15,11
486,2022-09-04,2022-Uknationals,Ranelagh,Smash'D,15,10
487,2022-09-04,2022-Uknationals,Devon Ultimate,Reading,15,12
488,2022-09-04,2022-Uknationals,Chevron Action Flash,Bristol Open,15,8
489,2022-09-04,2022-Uknationals,XVI,EDI,15,10
490,2022-09-04,2022-Uknationals,Clapham Ultimate,Alba,15,10
491,2022-09-04,2022-Uknationals,Reading,Rebel,15,7
492,2022-09-04,2022-Uknationals,EDI,Tribe,11,12
493,2022-09-04,2022-Uknationals,Ranelagh,Chevron Action Flash,11,15
494,2022-09-04,2022-Uknationals,XVI,Devon Ultimate,11,15
495,2022-09-04,2022-Uknationals,Smash'D,Bristol Open,15,10
496,2022-09-04,2022-Uknationals,Tribe,Reading,15,10
497,2022-09-04,2022-Uknationals,EDI,Rebel,15,10
498,2022-09-04,2022-Uknationals,Bristol Open,Devon Ultimate,5,15
499,2022-06-19,2022 Windmill,Friselis Open,Ars Ludendi Darmstadt,9,9
500,2022-06-19,2022 Windmill,XVI,Bora Bears,13,11
501,2022-06-19,2022 Windmill,Devon Ultimate,Rebel,12,13
502,2022-06-19,2022 Windmill,Force Elektro,Panthers Bern Ultimate,12,8
503,2022-06-19,2022 Windmill,Ranelagh,PirU,9,15
504,2022-06-19,2022 Windmill,thebigEZ,Amsterdam Ultimate Club Open,11,15
505,2022-06-19,2022 Windmill,Panthers Wroclaw,Vorai,12,9
506,2022-06-19,2022 Windmill,Smash'D,Jetset Open,11,11
507,2022-06-19,2022 Windmill,KFK - Copenhagen Frisbee Club,Mamoots,14,6
508,2022-06-19,2022 Windmill,Guayota,Flying Angels Bern,15,7
509,2022-06-19,2022 Windmill,Chevron Action Flash,Tchac,12,13
510,2022-06-19,2022 Windmill,3SB,Iznogood,15,9
511,2022-06-19,2022 Windmill,Clapham Ultimate,Mooncatchers,15,7
512,2022-06-18,2022 Windmill,Ars Ludendi Darmstadt,Bora Bears,12,13
513,2022-06-18,2022 Windmill,XVI,Panthers Bern Ultimate,12,10
514,2022-06-18,2022 Windmill,Friselis Open,Rebel,12,13
515,2022-06-18,2022 Windmill,Force Elektro,Devon Ultimate,12,12
516,2022-06-18,2022 Windmill,PirU,Vorai,9,12
517,2022-06-18,2022 Windmill,Jetset Open,Ranelagh,10,11
518,2022-06-18,2022 Windmill,Panthers Wroclaw,Amsterdam Ultimate Club Open,14,8
519,2022-06-18,2022 Windmill,Mamoots,Smash'D,12,6
520,2022-06-18,2022 Windmill,KFK - Copenhagen Frisbee Club,thebigEZ,14,8
521,2022-06-18,2022 Windmill,Tchac,Guayota,15,8
522,2022-06-18,2022 Windmill,Chevron Action Flash,Flying Angels Bern,9,7
523,2022-06-18,2022 Windmill,3SB,Mooncatchers,11,12
524,2022-06-18,2022 Windmill,Clapham Ultimate,Iznogood,7,6
525,2022-06-18,2022 Windmill,Bora Bears,Rebel,12,9
526,2022-06-18,2022 Windmill,Friselis Open,Panthers Bern Ultimate,14,9
527,2022-06-18,2022 Windmill,Force Elektro,Ars Ludendi Darmstadt,12,7
528,2022-06-18,2022 Windmill,XVI,Devon Ultimate,9,12
529,2022-06-18,2022 Windmill,Vorai,Ranelagh,11,14
530,2022-06-18,2022 Windmill,Amsterdam Ultimate Club Open,PirU,14,12
531,2022-06-18,2022 Windmill,Jetset Open,thebigEZ,12,12
532,2022-06-18,2022 Windmill,Mamoots,Panthers Wroclaw,12,9
533,2022-06-18,2022 Windmill,Smash'D,KFK - Copenhagen Frisbee Club,8,14
534,2022-06-18,2022 Windmill,Chevron Action Flash,Iznogood,10,12
535,2022-06-18,2022 Windmill,Mooncatchers,Tchac,11,7
536,2022-06-18,2022 Windmill,3SB,Guayota,14,9
537,2022-06-18,2022 Windmill,Clapham Ultimate,Flying Angels Bern,15,9
538,2022-06-18,2022 Windmill,Bora Bears,Panthers Bern Ultimate,9,11
539,2022-06-18,2022 Windmill,Ars Ludendi Darmstadt,Rebel,14,11
540,2022-06-18,2022 Windmill,Devon Ultimate,Vorai,9,13
541,2022-06-18,2022 Windmill,Friselis Open,XVI,12,12
542,2022-06-18,2022 Windmill,Force Elektro,PirU,10,14
543,2022-06-18,2022 Windmill,Amsterdam Ultimate Club Open,Ranelagh,11,9
544,2022-06-18,2022 Windmill,Panthers Wroclaw,thebigEZ,12,11
545,2022-06-18,2022 Windmill,KFK - Copenhagen Frisbee Club,Jetset Open,13,8
546,2022-06-18,2022 Windmill,Mamoots,Flying Angels Bern,9,12
547,2022-06-18,2022 Windmill,Tchac,Smash'D,10,9
548,2022-06-18,2022 Windmill,Mooncatchers,Guayota,12,6
549,2022-06-18,2022 Windmill,3SB,Iznogood,9,8
550,2022-06-18,2022 Windmill,Chevron Action Flash,Clapham Ultimate,8,13
551,2022-06-17,2022 Windmill,PirU,Panthers Bern Ultimate,15,7
552,2022-06-17,2022 Windmill,Vorai,Rebel,15,7
553,2022-06-17,2022 Windmill,Ars Ludendi Darmstadt,XVI,11,13
554,2022-06-17,2022 Windmill,Devon Ultimate,Bora Bears,11,8
555,2022-06-17,2022 Windmill,Force Elektro,Ranelagh,10,9
556,2022-06-17,2022 Windmill,thebigEZ,Friselis Open,15,11
557,2022-06-17,2022 Windmill,Jetset Open,Amsterdam Ultimate Club Open,12,11
558,2022-06-17,2022 Windmill,Smash'D,Panthers Wroclaw,14,11
559,2022-06-17,2022 Windmill,Flying Angels Bern,KFK - Copenhagen Frisbee Club,10,11
560,2022-06-17,2022 Windmill,Guayota,Mamoots,14,11
561,2022-06-17,2022 Windmill,Tchac,Mooncatchers,9,13
562,2022-06-17,2022 Windmill,Clapham Ultimate,Iznogood,13,13
563,2022-06-17,2022 Windmill,Chevron Action Flash,3SB,9,8
564,2022-06-17,2022 Windmill,Vorai,XVI,14,14
565,2022-06-17,2022 Windmill,PirU,Rebel,15,11
566,2022-06-17,2022 Windmill,Panthers Bern Ultimate,Ars Ludendi Darmstadt,8,15
567,2022-06-17,2022 Windmill,Force Elektro,Friselis Open,8,10
568,2022-06-17,2022 Windmill,thebigEZ,Bora Bears,13,9
569,2022-06-17,2022 Windmill,Panthers Wroclaw,Jetset Open,9,9
570,2022-06-17,2022 Windmill,Smash'D,Amsterdam Ultimate Club Open,12,8
571,2022-06-17,2022 Windmill,Devon Ultimate,KFK - Copenhagen Frisbee Club,10,15
572,2022-06-17,2022 Windmill,Iznogood,Ranelagh,15,7
573,2022-06-17,2022 Windmill,Tchac,Mamoots,11,7
574,2022-06-17,2022 Windmill,Mooncatchers,Flying Angels Bern,14,10
575,2022-06-17,2022 Windmill,Guayota,Chevron Action Flash,8,13
576,2022-06-17,2022 Windmill,3SB,Clapham Ultimate,9,11
577,2022-06-17,2022 Windmill,XVI,Jetset Open,10,15
578,2022-06-17,2022 Windmill,PirU,Ars Ludendi Darmstadt,12,14
579,2022-06-17,2022 Windmill,Rebel,Panthers Bern Ultimate,8,12
580,2022-06-17,2022 Windmill,Amsterdam Ultimate Club Open,Friselis Open,15,12
581,2022-06-17,2022 Windmill,KFK - Copenhagen Frisbee Club,Bora Bears,13,4
582,2022-06-17,2022 Windmill,Force Elektro,Mamoots,8,13
583,2022-06-17,2022 Windmill,Smash'D,Vorai,13,6
584,2022-06-17,2022 Windmill,Clapham Ultimate,thebigEZ,15,5
585,2022-06-17,2022 Windmill,Tchac,Panthers Wroclaw,15,7
586,2022-06-17,2022 Windmill,Guayota,Devon Ultimate,15,8
587,2022-06-17,2022 Windmill,Ranelagh,Flying Angels Bern,10,12
588,2022-06-17,2022 Windmill,Iznogood,Chevron Action Flash,10,11
589,2022-06-17,2022 Windmill,3SB,Mooncatchers,13,12
590,2022-06-17,2022 Windmill,Smash'D,Force Elektro,10,9
591,2022-06-17,2022 Windmill,thebigEZ,Vorai,14,12
592,2022-06-17,2022 Windmill,Devon Ultimate,Panthers Bern Ultimate,14,8
593,2022-06-17,2022 Windmill,Flying Angels Bern,Amsterdam Ultimate Club Open,13,8
594,2022-06-17,2022 Windmill,3SB,Ars Ludendi Darmstadt,15,2
595,2022-06-17,2022 Windmill,KFK - Copenhagen Frisbee Club,Panthers Wroclaw,9,13
596,2022-06-17,2022 Windmill,Guayota,Friselis Open,14,8
597,2022-06-17,2022 Windmill,Chevron Action Flash,Jetset Open,15,6
598,2022-06-17,2022 Windmill,Ranelagh,Rebel,14,8
599,2022-06-17,2022 Windmill,Iznogood,XVI,15,6
600,2022-06-17,2022 Windmill,Tchac,Bora Bears,15,10
601,2022-06-17,2022 Windmill,Mooncatchers,PirU,15,6
602,2022-06-17,2022 Windmill,Clapham Ultimate,Mamoots,13,10
